date,start,end,hours,phase,hat,task,estimate_hours,blocked_hours,notes
2026-08-30,10:30,13:30,3.00,inception,project-manager,create repo + scaffold docs/ tree,3.00,0.00,underestimated charter development time
2026-08-30,14:25,16:10,1.75,inception,project-manager,create board + README.md, 3.00,0.00,Finished creating board + AI Usage log + README.md
2026-08-31,11:05,12:24,1.33,inception,product owner, idea portfolio & scoping, 1.30,0.00, Finished first project candidate idea
2026-09-01,13:09,15:14,2.09,inception,product owner, idea portfolio & scoping, 3.00,0.00, Finished second and third project candidates + wrote down candidates in doc
2026-09-02,10:36,12:24,1.75,inception,product owner, idea portfolio & scoping, 3.00,0.00, interviewed one user case and documented in in word
2026-09-04,15:23,18:07,2.75,inception,product owner, idea portfolio & scoping, 3.00,0.00, start working on the call and added /hours_report.py and .git workflows
2026-09-05,10:03,13:38,3.50,inception,product owner, idea portfolio & scoping, 3.00,0.00, continue working on call
2026-09-06,10:35,14:26,3.90,inception,product owner, idea portfolio & scoping, 3.00,0.00, Re entering candidate ideas and input interview + working on memo
2026-09-06,16:58,18:34,1.55,inception,product owner, idea portfolio & scoping, 3.00,0.00, finished memo and completed dependency-table
2026-09-08,17:58,20:51,2.95,inception,business analyst, software requirement specification, 3.00,0.00, began working on requirements.md
2026-09-09,09:42,12:20,2.35,inception,business analyst, software requirement specification, 3.00,0.00, continue working on requirements.md
2026-09-10,09:20,11:02,1.70,inception,business analyst, software requirement specification, 3.00,0.00, continue working on requirements.md
