req_id,type,priority,requirement,source,design_element,test_id,measurement_method,status
FR-ACCT-01,functional,Must,A new user shall be able to create a unique username when registering for an Acountabilibuddy account.,your own decision — I believe that creating an account and logging into the system will be the best and easiest way to assign privileges to users as well as assign rank and role.,RegisterForm + POST /register,T-001,Execute every Given/when/then acceptance criterion under FR-ACCT-01; all expected results must pass,planned
FR-ACCT-02,functional,Must,A new user shall be able to create a password that meets the defined security criteria when registering for an Acountabilibuddy account.,your own decision — I believe that creating an account and logging into the system will be the best and easiest way to assign privileges to users as well as assign rank and role.,RegisterForm password validation + password hashing,T-002,Execute every Given/when/then acceptance criterion under FR-ACCT-02; all expected results must pass,planned
FR-ACCT-03,functional,Should,All users of Acountabilibuddy will be able to change their unique user account password.,your own decision — I believe that the ability to change a password will be a quality of life feature that will greatly help the users feel secure in their ability to recover their accounts in the event of forgetting or losing password.,AccountSettingsForm + password update service,T-003,Execute every Given/when/then acceptance criterion under FR-ACCT-03; all expected results must pass,planned
FR-ACCT-04,functional,Must,A registered user will be able to log in using their username and password and in order to access the features authorized for their assigned role/rank.,"your own decision — Requiring an account and login credentials is essential in maintaining security within Acountabilibuddy and protecting private information stored within user accounts, chat history, and privileges",LoginForm + POST /login + session store,T-004,Execute every Given/when/then acceptance criterion under FR-ACCT-04; all expected results must pass,planned
FR-ACCT-05,functional,Must,A registered user will be able to log out from the system which will end the authenticated session started at login,your own decision — Allowing users to logout will reduce strain on the program servers and promote better security due to closing inactive user authenticated sessions.,POST /logout + session revocation,T-005,Execute every Given/when/then acceptance criterion under FR-ACCT-05; all expected results must pass,planned
FR-ACCT-06,functional,Must,The system shall prevent the creation of an account when the requested username is already assigned to another account.,your own decision — preventing the creation of multiple accounts using the same username will prevent technical errors and data loss issues,users.username unique index + registration validation,T-006,Execute every Given/when/then acceptance criterion under FR-ACCT-06; all expected results must pass,planned
FR-UNIT-01,functional,Must,Administrative users shall be able to create large groups based on the unit utilizing the system,Interviews with Lionel Carapia 09-04-2026 and Jack Malenock 09-09-2026.,CreateUnitForm + POST /units,T-007,Execute every Given/when/then acceptance criterion under FR-UNIT-01; all expected results must pass,planned
FR-UNIT-02,functional,Must,Administrative users shall be able to add existing Acountabilibuddy users to already existing units.,your own decision — The ability to add users to already existing unit groups will be required because in the military new soldiers are always being transferred in and out of existing units.,AddMemberForm + POST /units/{unit_id}/members,T-008,Execute every Given/when/then acceptance criterion under FR-UNIT-02; all expected results must pass,planned
FR-UNIT-03,functional,Must,Administrative users shall be able to remove existing Acountabilibuddy users from already existing units.,"your own decision — The ability to remove users from existing unit groups will be required because military personnel are frequently transferred in and out of existing units, and former members should no longer have access to that unit's communication, calendar, or information.",RemoveMember action + unit membership service,T-009,Execute every Given/when/then acceptance criterion under FR-UNIT-03; all expected results must pass,planned
FR-UNIT-04,functional,Could,Administrative users shall be able to make existing Acountabilibuddy users administrators of already existing units.,"your own decision — The ability to make users administrators of existing unit groups will be required because multiple leaders within a military unit may need administrative permissions to manage unit members, communication, calendar events, and accountability.",Unit role editor + membership authorization service,T-010,Execute every Given/when/then acceptance criterion under FR-UNIT-04; all expected results must pass,planned
FR-UNIT-05,functional,Could,Administrative users shall be able to remove administrator permissions from existing Acountabilibuddy users within already existing units.,your own decision — The ability to remove administrator permissions from existing unit members will be required because military personnel may transfer out of leadership positions or responsibilities while remaining members of the unit.,Unit role editor + membership authorization service,T-011,Execute every Given/when/then acceptance criterion under FR-UNIT-05; all expected results must pass,planned
FR-CHAT-01,functional,Must,Administrative users shall be able to create group chats for existing Acountabilibuddy units.,your own decision — The ability to create group chats will be required because military units may need separate communication channels for different groups of personnel within the same unit.,GroupChatService + unit chat view,T-012,Execute every Given/when/then acceptance criterion under FR-CHAT-01; all expected results must pass,planned
FR-CHAT-02,functional,Should,Administrative users shall be able to add existing Acountabilibuddy users who are members of the unit to already existing group chats.,your own decision — The ability to add users to existing group chats will be required because military personnel may be transferred into existing units and need to be added to established communication groups.,GroupChatMembershipService,T-013,Execute every Given/when/then acceptance criterion under FR-CHAT-02; all expected results must pass,planned
FR-CHAT-03,functional,Should,Administrative users shall be able to remove existing Acountabilibuddy users from already existing group chats.,your own decision — The ability to remove users from existing group chats will be required because military personnel may be transferred out of units or no longer require access to specific communication groups.,GroupChatMembershipService,T-014,Execute every Given/when/then acceptance criterion under FR-CHAT-03; all expected results must pass,planned
FR-CHAT-04,functional,Must,Users shall be able to send messages in group chats that they are members of.,Interviews with Thomas Yang and Jack Malenock on 09-09-2026 — The ability to send messages in group chats will be required because communication between authorized members is a core purpose of Acountabilibuddy.,MessageForm + POST /units/{unit_id}/messages,T-015,Execute every Given/when/then acceptance criterion under FR-CHAT-04; all expected results must pass,planned
FR-CHAT-05,functional,Must,The system shall maintain a history of messages sent within group chats and allow authorized members to view previous messages.,your own decision — The ability to maintain chat history will be required so authorized users can review previously communicated information and important unit communication is not lost.,messages collection + unit chat history query,T-016,Execute every Given/when/then acceptance criterion under FR-CHAT-05; all expected results must pass,planned
FR-CHAT-06,functional,Could,Administrative/leadership users shall be able to create and assign a backbrief task within a group chat to one or more members of the group chat.,Interview with XO Estella Hageman 09-04-2026 — A backbrief feature was identified as a potential extension of the group communication functionality to allow leaders to verify that subordinate personnel understand information distributed through the group chat.,BackbriefAssignmentForm + assignment service,T-017,Execute every Given/when/then acceptance criterion under FR-CHAT-06; all expected results must pass,planned
FR-CLNDR-01,functional,Must,Administrative users shall be able to add a calendar to an existing Acountabilibuddy unit.,Interview with XO Estella Hageman 09-04-2026 — The ability to add a calendar to an existing unit will be required because military units need a centralized location to organize and communicate upcoming events and activities.,UnitCalendarView + calendar service,T-018,Execute every Given/when/then acceptance criterion under FR-CLNDR-01; all expected results must pass,planned
FR-CLNDR-02,functional,Must,Administrative users shall be able to add events to an existing Acountabilibuddy unit calendar.,"Interview with S3 Hunter Szymborski 09-04-2026 — The ability to add calendar events will be required because military units need to schedule and communicate upcoming training, meetings, and other unit activities in a centralized location.",CreateEventForm + POST /units/{unit_id}/events,T-019,Execute every Given/when/then acceptance criterion under FR-CLNDR-02; all expected results must pass,planned
FR-CLNDR-03,functional,Could,Administrative users shall be able to delete existing events from an Acountabilibuddy unit calendar.,"your own decision — The ability to delete calendar events will be required because military units may need to remove cancelled, outdated, or incorrectly created events from their calendar.",DeleteEvent action + event authorization service,T-020,Execute every Given/when/then acceptance criterion under FR-CLNDR-03; all expected results must pass,planned
FR-CLNDR-04,functional,Should,Administrative users shall be able to enable accountability tracking for an existing Acountabilibuddy calendar event.,Interview with S3 Hunter Szymborski 09-04-2026 — The ability to enable an accountability tracker for calendar events will be required because military units need to track which personnel have acknowledged or confirmed their attendance for scheduled events.,AttendanceResponseForm + accountability roster,T-021,Execute every Given/when/then acceptance criterion under FR-CLNDR-04; all expected results must pass,planned
FR-RANK-01,functional,Must,Administrative users shall be able to assign an existing Acountabilibuddy user a role within an already existing unit.,Interview with Lionel Carapia 09-04-2026 and Jack Malenock 09-09-2026 — The ability to assign users roles within existing unit groups will be required because user roles will determine the user's position within the chain of command and what features and information they are authorized to access.,Unit role editor + memberships.role,T-022,Execute every Given/when/then acceptance criterion under FR-RANK-01; all expected results must pass,planned
FR-RANK-02,functional,Must,Administrative users shall be able to assign an existing Acountabilibuddy user a military rank within an already existing unit.,Interview with Lionel Carapia 09-04-2026 and Jack Malenock 09-09-2026 — The ability to assign users military ranks within existing unit groups will be required because rank information is necessary to represent the unit's chain of command and identify users within the military organization.,Unit rank editor + memberships.rank,T-023,Execute every Given/when/then acceptance criterion under FR-RANK-02; all expected results must pass,planned
FR-RANK-03,functional,Should,Administrative users shall be able to change the military rank of an existing Acountabilibuddy user within an already existing unit.,"your own decision — The ability to change users' military ranks within existing unit groups will be required because military personnel may be promoted, demoted, or otherwise have their rank changed while remaining members of the unit.",Unit rank editor + membership authorization service,T-024,Execute every Given/when/then acceptance criterion under FR-RANK-03; all expected results must pass,planned
FR-RANK-04,functional,Should,Administrative users shall be able to change the role of an existing Acountabilibuddy user within an already existing unit.,your own decision — The ability to change users' roles within existing unit groups will be required because military personnel may change positions or responsibilities while remaining members of the unit.,Unit role editor + membership authorization service,T-025,Execute every Given/when/then acceptance criterion under FR-RANK-04; all expected results must pass,planned
FR-RANK-05,functional,Must,"The system shall enforce the established chain of command by restricting users' access to unit information, group chats, assignments, and administrative functions based on their assigned role and rank within the unit.",Interview with Jack Malenock 09-09-2026 — Chain of command enforcement was identified as a core requirement for ensuring that Acountabilibuddy reflects military organizational structure and restricts access and responsibilities according to a user's assigned rank and role.,membership() authorization + role/rank policy,T-026,Execute every Given/when/then acceptance criterion under FR-RANK-05; all expected results must pass,planned
NFR-PERF-01,non-functional,Must,"p95 server response time: ≤ 1.5 s under this condition: 20 sequential authenticated GETs of a unit page containing 50 members, 100 messages, and 25 events from the deployed service after one warm-up",Section 6 — Performance,UnitPage query/index plan + templates/unit.html,T-101,Seed the stated dataset; run `python code/measure_http.py --url URL --requests 20`; save its p95 output.,planned
NFR-PERF-02,non-functional,Should,"HTML response size: ≤ 500 KiB under this condition: Same seeded unit-page request, excluding separately loaded CSS",Section 6 — Performance,templates/unit.html + static/style.css,T-102,Save the response with `curl`; record `Length`/byte count and confirm the threshold.,planned
NFR-REL-01,non-functional,Must,Successful test runs: 10 of 10 consecutive runs under this condition: Clean test environment using pinned development requirements,Section 6 — Reliability,implementation/tests + pinned development requirements,T-103,"Run the pytest command ten times; record each exit code, all of which must be zero.",planned
NFR-REL-02,non-functional,Must,Recovery result after database interruption: No data loss among acknowledged writes; `/health` returns 200 within 5 minutes under this condition: Restart an Atlas test cluster or disconnect/reconnect a local MongoDB after creating a uniquely named event,Section 6 — Reliability,MongoDB connection + GET /health,T-104,"Record event ID, outage responses, recovery time, and confirm the same event after reconnection.",planned
NFR-SEC-01,non-functional,Must,"Unauthorized unit reads/writes: 0 successful requests under this condition: Anonymous, authenticated non-member, member, leader, and owner exercise every unit-scoped route",Section 6 — Security,membership() authorization on unit-scoped routes,T-105,"Run the role-permission pytest cases; every disallowed request must be 302, 403, or 404 and create no record.",planned
NFR-SEC-02,non-functional,Must,Accepted state-changing requests lacking a valid CSRF token: 0 under this condition: Every POST route is called once with no token and once with a modified token,Section 6 — Security,before_request CSRF validation,T-106,Parameterized Flask-client test must return 400 for every request and show no database change.,planned
NFR-SEC-03,non-functional,Must,Committed secrets or plaintext passwords: 0 findings under this condition: Git-tracked files plus one newly registered test user,Section 6 — Security,environment configuration + password hashing + dependency audit,T-107,Run `git grep` for configured secret patterns and inspect the user document; run `pip-audit -r implementation/requirements.txt`; record zero secrets/plaintext credentials and resolve any known high/critical vulnerability before release.,planned
NFR-SEC-04,non-functional,Must,Executable markup from user-controlled message/name fields: 0 executions under this condition: Submit `<script>alert(1)</script>` in every displayed text field,Section 6 — Security,Jinja autoescaping + input validation,T-108,Automated response assertions require escaped markup; manually open each affected view and confirm no alert or injected element.,planned
NFR-PRIV-01,non-functional,Must,Data fields collected outside the inventory below: 0 under this condition: Registration and normal member/leader workflows,Section 6 — Privacy,MongoDB collection schemas + documented data inventory,T-109,Compare MongoDB document keys from a seeded end-to-end run with the inventory; document and approve any difference before merge.,planned
NFR-PRIV-02,non-functional,Should,"Time to complete a verified deletion request: ≤ 7 calendar days, with 0 matching application records afterward under this condition: Prototype user makes a written request and proves control of the username",Section 6 — Privacy,Administrative account-deletion procedure,T-110,"Admin runs the documented deletion procedure, searches all collections by user ID/name, and records date, query results, and any provider-backup limitation.",planned
NFR-A11Y-01,non-functional,Must,"Critical/serious automated accessibility findings: 0 under this condition: Register, login, dashboard, and populated unit pages at desktop and 390 px viewport",Section 6 — Accessibility,auth/dashboard/unit templates + static/style.css,T-111,Run axe DevTools on each page; save dated results and resolve every critical/serious finding.,planned
NFR-A11Y-02,non-functional,Must,"Core tasks completable using keyboard only: 5 of 5: register, sign in, post message, respond to event, sign out under this condition: Chrome at 100% zoom with mouse/touch unused",Section 6 — Accessibility,semantic HTML forms + global focus styles,T-112,"Start at address bar; use Tab/Shift+Tab/Enter/Space, record pass/fail, and confirm visible focus and logical order.",planned
NFR-USE-01,non-functional,Should,"First-attempt task completion: ≥ 4 of 5 representative users complete ≥ 4 of 5 core tasks without coaching, each task in ≤ 2 minutes under this condition: Fresh accounts and a seeded unit on a phone or laptop",Section 6 — Usability,Registration/login/chat/event/attendance workflows,T-113,"Give the five task prompts without procedural hints; time attempts and record completion/errors, not participant names.",planned
NFR-USE-02,non-functional,Must,"Invalid-input responses that explain a corrective action: 100% of the 8 documented invalid-input cases under this condition: Weak password, duplicate username, bad administrator token, unknown member, missing field, overlong field, naive event time, invalid attendance value",Section 6 — Usability,field validation + user-facing error handling,T-114,Execute the checklist; response must reject the write and supply an actionable message or documented HTTP error.,planned
NFR-MAINT-01,non-functional,Must,Automated regression status and runtime: 100% pass in ≤ 60 s under this condition: Fresh virtual environment on the course-development laptop,Section 6 — Maintainability,README/BUILD.md + pinned dependencies + test suite,T-115,"Install pinned files and run `python -m pytest implementation/tests -q`; record count, time, and exit code.",planned
NFR-MAINT-02,non-functional,Should,Traceability validation findings: 0 under this condition: Every requirements change before merge,Section 6 — Maintainability,code/check-traceability.py,T-116,"Run `python code/check-traceability.py`; it must exit 0 with no missing IDs, blanks, duplicates, or unknown requirement references.",planned
NFR-PORT-01,non-functional,Should,Successful supported-environment smoke tests: 2 of 2 environments under this condition: Windows 11 local Python 3.12 and Render Linux using the same dependency pins,Section 6 — Portability,render.yaml + BUILD.md + Python dependency pins,T-117,"In each environment register/login, create a unit/event, and record attendance",planned
